,Air.Temperature,Geo.Potential.Height,SpecificHumidity,u.wind,v.wind,RainfallPrecipitated,pred_val,Output
7,282.6,3152,0.00158,-0.6,-4.1,NA,29.0209494,29.0209494
8,283,3164,0.00141,-0.6,-3.2,25.7,28.85015018,25.7
11,284.3,3142,0.00142,0.2,-1.3,20.9,28.6929437,20.9
15,283.6,3155,0.00113,0.1,-1,21.2,27.79562664,21.2
19,283.8,3133,0.00251,-0.8,2.2,29.1,30.74285774,29.1
26,283.3,3173,0.00397,3.9,1,32.7,36.61738003,32.7
27,283.6,3156,0.00337,4.1,-2.7,34.3,35.19707941,34.3
28,283.6,3166,0.00225,3.8,-0.6,33.6,31.77348048,33.6
40,284.2,3168,0.00293,4.2,4,28.5,33.37969239,28.5
43,284.2,3158,0.00386,2.9,-1.5,28.1,36.59777011,28.1
56,283.7,3148,0.00227,3.8,2.2,28.8,30.96496726,28.8
66,282.2,3144,0.00225,7.3,3.8,28.7,30.33472739,28.7
78,281.4,3161,0.00639,4.1,4.6,41,42.02001238,41
81,281.5,3149,0.00585,3.2,1.6,45.5,40.55519414,45.5
92,281.9,3171,0.00651,-2.6,1.1,36.5,42.55159894,36.5
94,282.8,3173,0.00596,-0.1,0.8,35.4,41.7562601,35.4
95,282.7,3152,0.00645,1.4,-1.1,36.7,43.13276298,36.7
114,283.7,3177,0.00136,-10.4,-5.9,20,28.51257314,20
121,285.8,3145,0.00222,-14.3,-1.9,21.5,29.99982481,21.5
126,284.9,3166,0.00368,-12.5,-0.6,29.5,34.43548651,29.5
133,284.8,3127,0.0022,-9.9,-5.9,28.3,30.27806029,28.3
139,282.5,3132,0.00667,-9,-2.3,31.3,42.04098793,31.3
144,283.5,3147,0.00914,-4,4,48.6,49.7216972,48.6
146,284.2,3153,0.00865,2.8,3.9,47.6,49.63841546,47.6
147,282.9,3127,0.01048,0.3,3.9,49.4,53.46543392,49.4
152,283.1,3177,0.01009,-2.9,-1.2,51.5,54.08452064,51.5
160,282.3,3159,0.00874,-0.7,-4.9,45.6,50.21060518,45.6
166,281.8,3158,0.00587,-0.7,-1.4,35,40.96018984,35
169,281.5,3132,0.00361,0,-0.2,33.8,33.43310947,33.8
175,283.7,3131,0.00328,-0.6,0,38.6,33.29816483,38.6
182,284.2,3165,0.00351,-5.1,3.3,35.2,33.9189009,35.2
183,283.5,3143,0.00436,-4.6,4,36,35.50565423,36
190,283.2,3162,0.0046,-3,2.9,43.8,36.94196435,43.8
208,283.7,3192,0.00408,-6.9,0.7,40.7,36.24301986,40.7
209,284.3,3166,0.00354,-5.7,-0.8,38.5,34.67332712,38.5
212,284.2,3187,0.0034,-8.5,-0.8,33.9,34.38097528,33.9
220,283.4,3169,0.00222,-2.7,-0.9,32.5,30.87991809,32.5
235,283,3173,0.00346,-10,-1.8,36.9,33.6482059,36.9
236,282.3,3197,0.00422,-9,-2.4,40.7,36.40046163,40.7
242,284.1,3190,0.00326,-2.9,-2.4,35.9,34.9893698,35.9
243,283.5,3167,0.00391,-5,-2.7,38.7,35.83572647,38.7
253,284.8,3154,0.00171,-3.8,-3.3,31.4,29.8765727,31.4
256,285.9,3167,0.00131,-3.2,-0.1,32.3,29.06300121,32.3
258,284.1,3166,0.00198,-3.4,-5.3,30.9,31.04223861,30.9
267,283.6,3133,0.00191,-8.3,-3.6,27.9,28.87607761,27.9
277,283.6,3157,0.00584,-5.4,0.3,44.9,40.75210481,44.9
288,284.4,3182,0.00522,-2,1.2,42.1,40.20165153,42.1
298,282.5,3180,0.00418,-3.6,-0.1,40.1,36.26644245,40.1
300,283.1,3169,0.00457,-0.7,-0.1,40.9,37.77662068,40.9
306,284.4,3181,0.00356,-3.8,-2.1,36.2,35.61154349,36.2
308,283.6,3172,0.00315,-6.1,-2.8,39.3,33.64691812,39.3
309,283.4,3151,0.00344,-6.3,-4.8,40.2,34.18827538,40.2
314,283.5,3181,0.00291,-3.5,-2.9,35.8,33.47635158,35.8
317,283.4,3155,0.00521,-7.8,-9.7,37.6,40.09898617,37.6
321,284.6,3154,0.00481,-10.4,-9.2,33.4,39.00923054,33.4
324,284,3166,0.00669,-6.6,-6.1,37.2,44.54811768,37.2
327,283.8,3144,0.00865,-3,-0.9,42.5,49.27591357,42.5
330,283,3165,0.00905,-2.8,-1.2,44.2,50.69875763,44.2
338,282.9,3192,0.00268,-3.7,0.1,35.7,32.2918817,35.7
348,283.2,3172,0.00394,-5,5.2,39.4,34.61625682,39.4
352,283.6,3180,0.00528,-4.5,-0.1,40,39.86538762,40
356,282.6,3180,0.00368,-5.4,-2.1,36.6,34.93821865,36.6
358,283.3,3186,0.00287,-0.9,-1.5,32,33.50206249,32
360,282.9,3179,0.00375,-6.5,-4.9,34.5,35.56949747,34.5
366,283.4,3159,0.00277,-10.2,-1.4,30.8,31.35603157,30.8
368,282.8,3166,0.00501,-10.7,-2.3,35.5,37.92868194,35.5
374,283.6,3195,0.0018,-7.6,-4.3,32.8,30.31034893,32.8
390,285.2,3168,0.00301,0,3.8,40.7,33.54452017,40.7
394,285.9,3162,0.00341,-1.1,0.5,37.3,35.27849587,37.3
407,284.1,3145,0.00314,-1.8,-0.4,42.6,33.32411647,42.6
408,283.5,3162,0.00324,-4.6,-3.7,43.5,33.95931681,43.5
411,284.2,3143,0.00316,-2.5,-3.4,39.9,33.78008033,39.9
413,284.4,3137,0.00297,-2,-5.8,38.2,33.61992313,38.2
417,283.7,3131,0.00362,-6,-5.8,41.7,34.5521615,41.7
420,282.6,3155,0.00944,-5.7,-4.4,47.5,51.56877843,47.5
421,283.1,3143,0.00944,-7.6,-6.6,46,51.60502258,46
423,282.8,3140,0.00755,-7.8,-4.3,46.4,45.44250051,46.4
446,284.5,3184,0.00704,-2.7,1.5,43.6,45.50085841,43.6
448,284.3,3174,0.00601,-3.6,-2.1,42.3,42.61353212,42.3
449,283.5,3153,0.00525,-3.7,-0.7,40.6,39.25993146,40.6
450,283.8,3173,0.00444,-2.7,-0.6,39.5,37.62682443,39.5
455,284.8,3138,0.0039,-3.7,-3.2,36.3,35.90443788,36.3
459,283.9,3130,0.00562,-3.8,-4.1,38.8,40.49410849,38.8
462,282.6,3148,0.00661,-6.4,-0.2,37.5,42.30024467,37.5
466,284.2,3175,0.00305,-2.7,1.5,37.8,33.42527211,37.8
472,285.2,3154,0.00388,-1.6,0.1,39.6,36.15114014,39.6
479,283.8,3137,0.00433,-9.6,-0.9,43.1,35.55877079,43.1
481,281.1,3139,0.00682,-8.6,-1.4,49.3,41.94314184,49.3
498,283.6,3168,0.00248,-3,-0.9,33.1,31.66780183,33.1
516,282.5,3174,0.0047,-2.8,-4.4,42,38.45490796,42
519,284.5,3145,0.00311,-5.6,-4.1,38.9,33.52932156,38.9
523,283.2,3141,0.00591,-6.2,-2.8,44.8,40.78767174,44.8
531,284.4,3137,0.00498,-7.7,-2.9,47.2,38.30751936,47.2
535,284,3136,0.00566,-3.4,-3.3,45.5,40.72591807,45.5
538,284.9,3171,0.00588,-5.9,-7,45.7,42.92993229,45.7
540,284.2,3166,0.00597,-7.8,-8.9,48.4,42.82725587,48.4
541,283.4,3135,0.00576,-6.9,-4.7,47.4,40.50728503,47.4
543,283.2,3134,0.00667,-6,-6,51.4,43.39719052,51.4
551,283.3,3093,0.00737,-2.4,-14.5,54.2,46.33652751,54.2
555,283,3114,0.00884,4.8,-9.8,53.2,51.2056772,53.2
559,284,3111,0.0075,4.7,-5.2,48.7,46.86588026,48.7
564,285.6,3148,0.0086,0.9,-6.1,52.6,51.38372067,52.6
568,284,3158,0.00922,1.8,-3.7,50.3,52.47093558,50.3
572,285.8,3169,0.0069,0,-3.1,44,46.39431249,44
576,283.7,3162,0.00441,-4.2,-2.7,38,37.37081443,38
579,283.5,3137,0.00369,-2.3,-5.1,37,35.18362879,37
586,283.9,3157,0.00379,-2.4,-3.9,30.1,35.94363862,30.1
589,284,3131,0.00404,-0.3,-1.5,33.2,35.94821081,33.2
590,284.6,3159,0.00445,-1.7,0.6,32.9,37.59050878,32.9
591,283.5,3136,0.00436,-1.1,-3.7,35.6,37.05125079,35.6
